utk,untuk
skrg,sekarang
dah,sudah
tu,itu
dg,dengan
nih,ini
yg,yang
belom,belum
pengen,ingin
simpel,sederhana
earphone,penyuara telinga
thank you,terima kasih
berrantai,berantai
join,bergabung
gak,tidak
skarang,sekarang
smua,semua
dr,dari
cpt,cepat
lepasni,setelah ini
kat,di 
murah2,murah-murah
yu,ayo
tf,transfer
bgt,banget
ga,tidak
yaa,ya
n,dan
brsama,bersama
abg,abang
tak,tidak
mantaaaap,mantap
sosmed,sosial media
dh,sudah
ni,ini
dapet,dapat
udah,sudah
lagi2,lagi-lagi
tu,itu
dah,sudah
bet,banget
doi,dia
kyk,kayak
nerima,menerima
spek,spesifikasi
pgn,ingin
kaaa,kak
yaaa,ya
ajaaa,saja
ak,saya
kk,kakak
ad,ada
bs,bisa
"jalan"",jalan-jalan"
trs,terus
mangat,semangat
yaa,ya
blm,belum
tp,tapi
smoga,semoga
mbk,mbak
iso,bisa
iku,itu
pol,banget
jd,jadi
udah,sudah
bbrpa,beberapa
ngadain,mengadakan
astagaaa,astaga
semangaat,semangat
tak,tidak
tau,tahu
nak,mau
jadual,jadwal
dgn,dengan
btw,ngomong-ngomong
kalo,kalau
siyaap,siap
skuy,ayo
gada,tidak ada
ke mana,kemana
"masa"",masa-masa"
nii,ini
andaikatalah,seandainya
cakap,bicara
kakk,kak
gabisaa,tidak bisa
kahh,kah
mkn,makan
kawan2,kawan-kawan
pilihannyaa,pilihannya
faham,paham
pegi,pergi
je,aja
jugak,juga
g,tidak
Aamiin-aamiin,amin
yuk,ayo
bise,bisa
nda,tidak
awkaay,oke
kaak,kak
takda,tidak ada
gue,saya
sbnyk,sebanyak
pnggrn,pengangguran
cpt,cepat
masuk2,masuk-masuk
ngeboong,berbohong
kaga,tidak
lu,kamu
km,kamu
ka,kak
aing,aku
Ransl,ransel
utk,untuk
mengumpul,mengumpulkan
halooo,halo
berhari2,berhari-hari
anj,anjing
kesel,kesal
iklasin,ikhlasin
elu,kamu
klo,kalau
lg,lagi
sape,siapa
gw,saya
trus,terus
harini,hari ini
tkda,tidak ada
pastu,pasti
dah,sudah
kira2,kira-kira
mbak2,mbak-mbak
tpi,tapi
nnt,nanti
kerjaanya,kerjanya
gaa,tidak
cowo,cowok
dkit,sedikit
miskuin,miskin
brsn,barusan
hrga,harga
nemu,temu
kmrin,kemarin
rupanyaa,ternyata
pdhal,padahal
ad,ada
pen,ingin
dtg,datang
Dri,dari
mantul,mantap
Jgn,jangan
bosen,bosan
uk.,ukuran
udh,sudah
2x,dua kali
serebu,seribu
ngga,tidak
jga,juga
hub,hubungi
lama2,lama-lama
gvway²,memberikan
payah,perlu
nak,ingin
sila,silahkan
pd,pada
makin,semakin
iklan2,iklan-iklan
keknya,sepertinya
kmu,kamu
bener2,benar-benar
bljr,belajar
"beli"",beli-beli"
bakal,akan
jadiin,menjadikan
tdk,tidak
dpt,dapat
perhatiin,perhatikan
aja,saja
nggak,tidak
usah,perlu
pdhl,padahal
ong,ongkos kirim
kannn,kan
mematau,memantau
make,pakai
dri,dari
kertidaknyamanannya,ketidaknyamanannya
kaka,kakak
gede,besar
karna,karena
sbg,sebagai
kaya,seperti
cuman,cuma
Kka,kakak
bela2in,bela-belain
lbh,lebih
doooooong,dong
kudu,harus
jgn,jangan
pelit2,pelit-pelit
marah2,marah-marah
besok2,besok-besok
ortu,orang tua
apk,aplikasi
catet,catat
Udh,sudah
gegara,karena
tbtb,tiba-tiba
yaaw,ya
syipp,oke
asyiaap,siap
hihiyy,hore
tsel,telkomsel
isat,indosat
syekali,sekali
mantulll,mantap
kuy,ayo
cekiceki,memeriksa
rmh,rumah
asiiik,asik
ksdiaan,kesediaan
pngirimn,pengiriman
awkhayyy,oke
yaaaa,ya
apada,pada
maaci,terima kasih
bntu,bantu
okidoki,oke
ceki2,memeriksa
ss,tangkap layar
makasih,terima kasih
ngilang,menghilang
sdh,sudah
jm,jam
msuk,masuk-masuk
wokeh,oke
cuss,langsung
ntaapps,mantap
yuuk,ayo
mantulssss,mantap
sat set,cepat
pilihanya,pilihannya
macciw,terima kasih
siapp,siap
gausah,tidak perlu
nich,nih
cemungudhnya,semangatnya
pastiin,pastikan
tu,itu
nga,tidak
mantapppp,mantap
aamiin,amin
kesampean,kesampaian
loo,loh
mantulll,mantap
deeeh,deh
kecee,kece
wahh,wah
semangatnyaa,semangatnya
mantuls,mantap
wihhh,wah
mestinya,seharusnya
error,rusak
gaptek,gagap teknologi
nyamn,nyaman
aplkasi,aplikasi
cuan,uang
moga,semoga
milikin,memiliki
gaskeun,tancap
yaaw,ya
dlm,dalam
makasii,terima kasih
scr,secara
kndl,kendala
gratong,gratis ongkir
vouc,kupon
gamau,tidak mau
cuna,cuma
skuuy,yuk
kepo,penasaran
ngelag,lemot
donggg,dong
muter2,muter-muter
mw,mau
dateng,datang
please,mohon
bangett,banget
ngerivew,ngereview
bgni,begini
y,ya
ko,kenapa
yh,ya
ujan,hujan
bwt,buat
paan,apaan
gosah,tidak perlu
"barang"" ,berang-barang"
