content,stemming,label
bagus,['bagus'],-1.0
Tampa tik tok hidub terasa sepi🤣🤣,"['tampa', 'hidub', 'sepi', '', '']",1.0
Goid,['goid'],1.0
sangat bagus,['bagus'],1.0
P im ZZ@@@,"['im', 'zz']",1.0
Bachusck,['bachusck'],1.0
"I,M HAPPY APL TIKTOK HAPPY YOUR IS HOME","['im', 'happy', 'apl', 'tiktok', 'happy', 'your', 'home']",1.0
Kamu nanya,['nanya'],1.0
Keren,['keren'],1.0
Baik,[],1.0
"Akun saya terkunci tidak tau alasannya, tolong dibantu untuk proses akunnya Ussername : snapstorywa_","['akun', 'kunci', 'alas', 'tolong', 'bantu', 'proses', 'akun', 'ussername', 'snapstorywa']",-1.0
Krna aku mau efek suara wulan tpi ga bisa mulu udh di apdate tpi ttp ga bisa,"['krna', 'efek', 'suara', 'wulan', 'apdate']",1.0
👍,[''],1.0
Bagus bgt,"['bagus', 'banget']",1.0
"Saya sangat kecewa,Tik Tok ban akun yang tidak bersalah Malah yang tidak pantas di lihat tidak di ban. Saya sangat kecewa. Terima kasih.","['kecewatik', 'ban', 'akun', 'salah', 'ban', 'kecewa', 'terima', 'kasih']",-1.0
"Dari Beberapa bulan yang lalu sampai dengan hari ini kenapa video yang muncul di beranda saya selalu campuran. Kenapa tidak sesuai sama riwayat video yang pernah saya like, simpan di akun, dan simpan di galeri hp saya. Mohon diperbaiki lagi sistem rekomendasi video yang muncul di setiap akun tiktok. Terima kasih","['video', 'muncul', 'beranda', 'campur', 'sesuai', 'riwayat', 'video', 'simpan', 'akun', 'simpan', 'galeri', 'hp', 'baik', 'sistem', 'rekomendasi', 'video', 'muncul', 'akun', 'tiktok', 'terima', 'kasih']",-1.0
Saya suka,['suka'],1.0
Mau mengapdet yang baru,['mengapdet'],1.0
Aplikasi nya bagus,"['aplikasi', 'bagus']",1.0
Apik tenan,"['apik', 'tenan']",1.0
Apk gajeeee!,"['aplikasi', 'gajeeee']",1.0
si mmaman naink ke atap mantap,"['mmaman', 'naink', 'atap', 'mantap']",1.0
Sangat cocok untuk Anda yang ingin jualan online,"['cocok', 'jual', 'online']",1.0
Selalu bekreyasi Bg,['bekreyasi'],1.0
Viral,['viral'],1.0
Untuk teman2 saya kasih tau jangan download TIKTOK karena gajelas apl nya selalu update terus dan beberapa filter tidak bisa digunakan #TiktokRusak,"['teman', 'kasih', 'download', 'tiktok', 'gajelas', 'apl', 'filter', 'tiktokrusak']",-1.0
Sangat bagus,['bagus'],1.0
"Ini baguss bngt. . . Bisa hibur akuu,, aku suka jadi kasih bintang 5","['baguss', 'bngt', 'hibur', 'akuu', 'suka', 'kasih', 'bintang']",1.0
Sangat cocok untuk saya,['cocok'],1.0
😍😍😘😘😍😘😘😍😘😍😘😍😘😍😘😘😘,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1.0
Saya kasih pintang 3,"['kasih', 'pintang']",0.0
Kak kok udh di update tapi kok gk ada efek suara wulan:),"['tidak', 'efek', 'suara', 'wulan']",-1.0
Iya coba dulu,['coba'],1.0
"😌👍, saya suka aplikasi ini👉📱karena video nya seru dan di Mohon sekali ya tiktok jangan ada ngeleh atau bug atau gak filter yg gak bisa di pake itu saja ulasan saya dan terimakasih 🙏💕, dan knp tik tok saya tidak ada shop nya jadi nya saya kasih bintang 4 aja lah🙄","['', '', 'suka', 'aplikasi', '', '', 'video', 'seru', 'tiktok', 'ngeleh', 'bug', 'filter', 'pake', 'ulas', 'terimakasih', '', '', 'knp', 'shop', 'kasih', 'bintang', '']",1.0
baguss aplikasi nya good joobb,"['baguss', 'aplikasi', 'joobb']",1.0
Mntaaappppp,['mntaaappppp'],1.0
Keren,['keren'],1.0
"Iki apk jembut paling o, wes wayah e nginstal malah sauwi e","['aplikasi', 'jembut', 'wes', 'wayah', 'nginstal', 'sauwi']",-1.0
Tik Tok sangat bagus sekali,['bagus'],-1.0
"Fitur search filternya ilang di hpku, padahal di hp yang lain ada semua. Tampilannya pun beda, terbatas banget. Gabisa take photo, cuma bisa video. Udah bikin akun pun sama aja. Install ulang pun sama aja. Please kenapa ini? Udah update padahal","['fitur', 'cari', 'filter', 'hilang', 'hpku', 'hp', 'tampil', 'beda', 'batas', 'banget', 'gabisa', 'take', 'photo', 'video', 'akun', 'install', 'ulang']",0.0
👍👍👍👍👍👍👍👍👍👍,"['', '', '', '', '', '', '', '', '', '']",1.0
Bagus saya suka video yang ada di beranda,"['bagus', 'suka', 'video', 'beranda']",1.0
"Fitur posting ulang ilang2 an terus saya harus unistall apk dl baru bisa kembali tp itu jg galama 15 menit kemudian jg ilang lg,tolong jwb knp","['fitur', 'posting', 'ulang', 'hilang', 'unistall', 'aplikasi', 'dl', 'galama', 'menit', 'hilang', 'lgtolong', 'jwb', 'knp']",-1.0
Bgus kali,['bgus'],1.0
Bagus,['bagus'],1.0
Apk ini sangat bagus joss ku kasih bintang 5,"['aplikasi', 'bagus', 'ku', 'kasih', 'bintang']",1.0
"Bagus,kren sy suka","['baguskren', 'suka']",1.0
Aplikasinya bagus sekali,"['aplikasi', 'bagus']",1.0
oi gara gara kamu ayangku jadi pengen maem pedes lagi hadehh,"['gara', 'gara', 'ayangku', 'maem', 'pedes', 'hadehh']",-1.0
Bagus,['bagus'],1.0
Good,[],-1.0
Bismillahirrahmanirrahim fyp,"['bismillahirrahmanirrahim', 'fyp']",1.0
"Kenapa setelah di update fitur belanja di tiktok saya tidak ada ya???hanya ada fitur temukan dimenu, Padahal umur saya diatas 20 tahun","['fitur', 'belanja', 'tiktok', 'yahanya', 'fitur', 'temu', 'menu', 'umur', 'atas']",0.0
Bijakkkk,['bijakkkk'],1.0
Ketut,['ketut'],-1.0
.. . .,[],1.0
"Apk ny bgs Kren,kita bsa mendapatkan informasi yang terbaru,Terima kasih untuk developer yang udah membuat apk ini Dahh semuanya💅","['aplikasi', 'bagus', 'krenkita', 'bsa', 'informasi', 'terbaruterima', 'kasih', 'developer', 'aplikasi', '']",1.0
Kenapaaa akun saya di blokir tiba tiba padahal tidak ada pelanggaran dan Baru banyak folowernya langsung di blokir udah 2 kali bikin akun masih di blokir lagi udah ada hadiah gift dadi penonton mau diambil malah di blokir ajg,"['kenapaaa', 'akun', 'blokir', 'langgar', 'folowernya', 'blokir', 'akun', 'blokir', 'hadiah', 'gift', 'dadi', 'tonton', 'ambil', 'blokir', 'anjing']",-1.0
Hai tiktok nomor hp dan email saya sudah tidak aktif saya tidak bisa masuk mohon bantuan nya,"['tiktok', 'nomor', 'hp', 'email', 'aktif', 'bantu']",1.0
Sangat tidak menyenangkan,['senang'],-1.0
Dr,[],1.0
Keren,['keren'],1.0
Mantap,['mantap'],1.0
Kenapa sih tik tok tidak bisa di download padahal aku pengen banget,"['download', 'banget']",-1.0
Baik,[],1.0
Kok gk bisa donwload?,"['tidak', 'donwload']",1.0
🗿,[''],-1.0
Bagus..mudah2an kedepanya lebih baik,"['bagusmudahan', 'depa']",1.0
Kok saya tidak bisa mengakun tiktok saya!!!,"['akun', 'tiktok']",-1.0
Kok sekarang fitur pembayaran akulaku gak muncul di TikTok shop ya??? Tolong di jawab,"['fitur', 'bayar', 'akulaku', 'muncul', 'tiktok', 'shop', 'tolong']",-1.0
Sempurna,['sempurna'],1.0
Aplikasi nya the best banget pokoknya 😉😉😉,"['aplikasi', 'baik', 'banget', 'pokok', '', '', '']",1.0
Keren,['keren'],1.0
Sekarang udah g bisa siapa aja yg sudah liat vt kita....setelah di update,"['vt', 'kitasetelah']",1.0
Bagus doang,"['bagus', 'doang']",1.0
Saya baru sudah download sudah paling suka,"['download', 'suka']",1.0
Sangat bagus dan relevan.. Walaupun sedikit ngelage,"['bagus', 'relevan', 'ngelage']",1.0
Bagus banget tiktoknya apalagai folowwers nya aja banyak dan pokoknya kalian harus donglot ya Makasih,"['bagus', 'banget', 'tiktoknya', 'apalagai', 'folowwers', 'pokok', 'donglot', 'terima kasih']",1.0
